 postid | likes | dislikes 
--------+-------+----------
      0 |     2 |        2
      1 |     3 |       10
      2 |     2 |        4
      3 |     6 |        7
      4 |     4 |        4
      5 |     7 |        8
      7 |     4 |        4
      8 |     4 |        5
      9 |     3 |        1
     10 |     5 |        5
     11 |     5 |       10
     12 |     8 |        1
     13 |     4 |        5
     14 |     3 |        4
     15 |     5 |        3
     17 |     4 |        1
     18 |     2 |        6
     19 |     5 |        2
     20 |     2 |        1
     21 |     3 |        8
     22 |     1 |        3
     23 |     5 |        5
     24 |     7 |        7
     25 |     7 |        3
     26 |     8 |        7
     27 |     4 |        7
     28 |     5 |        2
     29 |     6 |        7
     30 |     8 |        6
     31 |     2 |        6
     32 |     5 |        5
     33 |     6 |        7
     34 |     5 |        1
     35 |     3 |        8
     36 |     1 |        2
     37 |     3 |        1
     38 |     7 |        8
     40 |     3 |        6
     41 |     2 |        2
     42 |     9 |        4
     43 |     5 |        9
     44 |     7 |        6
     46 |     7 |        8
     47 |     2 |        3
     48 |     1 |        1
     49 |     3 |        6
     50 |     7 |        4
     51 |     2 |        2
     52 |     9 |        5
     53 |     2 |        3
     54 |     3 |        2
     55 |     1 |        2
     56 |     1 |        1
     57 |     6 |        5
     58 |     1 |        1
     59 |     2 |        7
     60 |     7 |        7
     63 |     1 |        4
     64 |     4 |        1
     65 |     8 |        2
     66 |     4 |       10
     67 |     3 |        6
     70 |     3 |        2
     71 |     1 |        1
     72 |     3 |        2
     73 |     3 |        8
     74 |     5 |        5
     75 |     7 |        4
     77 |     1 |        9
     78 |     1 |        1
     79 |     1 |        1
     80 |     8 |        5
     81 |     4 |        6
     82 |     2 |        1
     84 |     2 |        1
     85 |     2 |        7
     86 |     4 |        6
     87 |     2 |        2
     89 |    10 |        4
     90 |     3 |       10
     91 |    11 |        4
     94 |     5 |        7
     95 |     3 |        6
     97 |     8 |        6
     98 |     3 |        2
     99 |     6 |        7
    100 |     6 |        2
    101 |     4 |        1
    102 |     7 |        2
    104 |     1 |        6
    105 |     7 |        5
    106 |     6 |        7
    107 |     1 |        1
    108 |     4 |        5
    109 |     1 |        1
    110 |     3 |        8
    111 |     5 |        3
    112 |     6 |        4
    113 |     3 |        1
    116 |     4 |        8
    117 |     3 |        3
    118 |     2 |        4
